"autor","l0","l1","l2","gender"
"Rebecca Ellis","GreaterEuropean","British","\N","F"
"Rebecca Fiebrink","GreaterEuropean","EastEuropean","\N","F"
"Rebecca Gray","GreaterEuropean","British","\N","F"
"Rebecca Green","GreaterEuropean","British","\N","F"
"Rebecca Gulotta","GreaterEuropean","WestEuropean","Italian","F"
"Rebecca Hachey","GreaterEuropean","British","\N","F"
"Rebecca Hansson","GreaterEuropean","British","\N","F"
"Rebecca Harper","GreaterEuropean","British","\N","F"
"Rebecca Hurwitz","GreaterEuropean","Jewish","\N","F"
"Rebecca Hwa","Asian","GreaterEastAsian","EastAsian","F"
"Rebecca Iden","GreaterAfrican","Africans","\N","F"
"Rebecca Illowsky","GreaterEuropean","EastEuropean","\N","F"
"Rebecca Isaacs","GreaterEuropean","Jewish","\N","F"
"Rebecca J. Passonneau","GreaterEuropean","WestEuropean","French","F"
"Rebecca J. Stones","GreaterEuropean","British","\N","F"
"Rebecca Jablonsky","GreaterEuropean","Jewish","\N","F"
"Rebecca James","GreaterEuropean","British","\N","F"
"Rebecca Jane Stones","GreaterEuropean","British","\N","F"
"Rebecca Kelly","GreaterEuropean","British","\N","F"
"Rebecca Knowles","GreaterEuropean","British","\N","F"
"Rebecca Kush","Asian","IndianSubContinent","\N","F"
"Rebecca L. McNamee","GreaterEuropean","British","\N","F"
"Rebecca L. Smith","GreaterEuropean","British","\N","F"
"Rebecca LaPlante","GreaterEuropean","Jewish","\N","F"
"Rebecca Lunsford","GreaterEuropean","British","\N","F"
"Rebecca Malinas","GreaterEuropean","British","\N","F"
"Rebecca Mason","GreaterEuropean","British","\N","F"
"Rebecca McCartan","GreaterEuropean","British","\N","F"
"Rebecca Moreau","GreaterEuropean","WestEuropean","French","F"
"Rebecca N. Wright","GreaterEuropean","British","\N","F"
"Rebecca Nesson","GreaterEuropean","British","\N","F"
"Rebecca P. Stern","GreaterEuropean","Jewish","\N","F"
"Rebecca Pitt","GreaterEuropean","British","\N","F"
"Rebecca Q. Stafford","GreaterEuropean","British","\N","F"
"Rebecca Quintana","GreaterEuropean","WestEuropean","Hispanic","F"
"Rebecca R. Murphy","GreaterEuropean","British","\N","F"
"Rebecca Randell","GreaterEuropean","British","\N","F"
"Rebecca Reed","GreaterEuropean","British","\N","F"
"Rebecca Ricks","GreaterEuropean","British","\N","F"
"Rebecca S. Portnoff","GreaterEuropean","Jewish","\N","F"
"Rebecca Say","GreaterEuropean","British","\N","F"
"Rebecca Schaller","GreaterEuropean","WestEuropean","Germanic","F"
"Rebecca Shapley","GreaterEuropean","British","\N","F"
"Rebecca Sharp","GreaterEuropean","British","\N","F"
"Rebecca Sinker","GreaterEuropean","British","\N","F"
"Rebecca Taft","GreaterEuropean","WestEuropean","French","F"
"Rebecca Tiarks","GreaterEuropean","British","\N","F"
"Rebecca Vivian","GreaterEuropean","British","\N","F"
"Rebecca W. Black","GreaterEuropean","British","\N","F"
"Rebecca Watson","GreaterEuropean","British","\N","F"
"Rebecca Willett","GreaterEuropean","British","\N","F"
"Rebecca Wrobel","GreaterEuropean","British","\N","F"
"Rebeka Bodak","Asian","IndianSubContinent","\N","F"
"Rebeka Gomes","GreaterEuropean","WestEuropean","Hispanic","F"
"Rebekah Leslie","GreaterEuropean","British","\N","F"
"Rebekah Olsen","GreaterEuropean","WestEuropean","Nordic","F"
"Rebekka Wohlrab","Asian","IndianSubContinent","\N","F"
"Redge Bartholomew","GreaterEuropean","British","\N","F"
"Reecha Bharali","Asian","IndianSubContinent","\N","F"
"Reem Al Ehaidib","GreaterAfrican","Muslim","\N","F"
"Reem Albaghli","GreaterAfrican","Muslim","\N","F"
"Reem Alnutaifi","GreaterAfrican","Muslim","\N","F"
"Reem S. Alsuhaibani","GreaterAfrican","Muslim","\N","F"
"Reem Suwaileh","GreaterAfrican","Muslim","\N","F"
"Reem Talhouk","GreaterAfrican","Muslim","\N","F"
"Reema Al-Kamha","GreaterAfrican","Muslim","\N","F"
"Reena Mathew","Asian","IndianSubContinent","\N","F"
"Reeva Lederman","GreaterEuropean","Jewish","\N","F"
"Regan Carey","GreaterEuropean","British","\N","F"
"Regan L. Mandryk","GreaterEuropean","EastEuropean","\N","F"
"Regina Barzilay","GreaterAfrican","Muslim","\N","F"
"Regina Bernhaupt","GreaterEuropean","WestEuropean","Nordic","F"
"Regina D. Tassone","GreaterEuropean","British","\N","F"
"Regina Estkowski","GreaterEuropean","EastEuropean","\N","F"
"Regina Hain","GreaterEuropean","British","\N","F"
"Regina Hasholzner","GreaterEuropean","EastEuropean","\N","F"
"Regina Hebig","GreaterEuropean","Jewish","\N","F"
"Regina Lúcia de Oliveira Moraes","GreaterEuropean","WestEuropean","Italian","F"
"Regina Ticona Herrera","GreaterEuropean","WestEuropean","Hispanic","F"
"Regina Zücker","GreaterEuropean","British","\N","F"
"Régine Laleau","GreaterEuropean","WestEuropean","French","F"
"Regine von Klitzing","GreaterEuropean","Jewish","\N","F"
"Rehab Alnemr","GreaterAfrican","Muslim","\N","F"
