"autor","l0","l1","l2","gender"
"Katarina Britz","GreaterEuropean","Jewish","\N","F"
"Katarína Cechlárová","GreaterEuropean","EastEuropean","\N","F"
"Katarina Segerståhl","GreaterEuropean","WestEuropean","Nordic","F"
"Katarzyna Abramczuk","GreaterAfrican","Muslim","\N","F"
"Katarzyna Budzynska","GreaterEuropean","EastEuropean","\N","F"
"Katarzyna E. Paluch","GreaterEuropean","British","\N","F"
"Katarzyna Musial","GreaterEuropean","EastEuropean","\N","F"
"Katarzyna Rybarczyk","GreaterEuropean","EastEuropean","\N","F"
"Katarzyna Stawarz","GreaterEuropean","Jewish","\N","F"
"Katayoun Farrahi","GreaterAfrican","Muslim","\N","F"
"Kate A. Smith","GreaterEuropean","British","\N","F"
"Kate Allen","GreaterEuropean","British","\N","F"
"Kate Anderson","GreaterEuropean","British","\N","F"
"Kate Ching-Ju Lin","Asian","GreaterEastAsian","EastAsian","F"
"Kate Collie","GreaterEuropean","British","\N","F"
"Kate Compton","GreaterEuropean","British","\N","F"
"Kate Devlin","GreaterEuropean","British","\N","F"
"Kate E. McCaffrey","GreaterEuropean","British","\N","F"
"Kate Ehrlich","GreaterEuropean","Jewish","\N","F"
"Kate Farina","GreaterEuropean","WestEuropean","Italian","F"
"Kate Fernie","GreaterEuropean","British","\N","F"
"Kate Finn","GreaterEuropean","British","\N","F"
"Kate Hayes","GreaterEuropean","British","\N","F"
"Kate Hennessy","GreaterEuropean","British","\N","F"
"Kate J. Garland","GreaterEuropean","British","\N","F"
"Kate Keahey","GreaterEuropean","British","\N","F"
"Kate Kelly","GreaterEuropean","British","\N","F"
"Kate Knill","GreaterEuropean","British","\N","F"
"Kate L. Shaw","Asian","IndianSubContinent","\N","F"
"Kate Larson","GreaterEuropean","Jewish","\N","F"
"Kate Lockwood","GreaterEuropean","British","\N","F"
"Kate McArdle","GreaterEuropean","British","\N","F"
"Kate McDevitt","GreaterEuropean","British","\N","F"
"Kate Mori","Asian","GreaterEastAsian","Japanese","F"
"Kate Nartker","GreaterEuropean","British","\N","F"
"Kate Oakley","GreaterEuropean","British","\N","F"
"Kate Revoredo","GreaterEuropean","WestEuropean","Italian","F"
"Kate Rosier","GreaterEuropean","WestEuropean","French","F"
"Kate S. Hone","GreaterEuropean","British","\N","F"
"Kate Saenko","Asian","GreaterEastAsian","Japanese","F"
"Kate Sangwon Lee","Asian","GreaterEastAsian","EastAsian","F"
"Kate Sellen","GreaterEuropean","British","\N","F"
"Kate Silverstein","GreaterEuropean","Jewish","\N","F"
"Kate Smith-Miles","GreaterEuropean","British","\N","F"
"Kate Sobel","GreaterEuropean","Jewish","\N","F"
"Kate Starbird","GreaterEuropean","British","\N","F"
"Kate Thompson","GreaterEuropean","British","\N","F"
"Kate Vaisutis","Asian","IndianSubContinent","\N","F"
"Kate Zinszer","GreaterEuropean","Jewish","\N","F"
"Katelin A. Bailey","GreaterEuropean","British","\N","F"
"Katelyn Doran","GreaterEuropean","British","\N","F"
"Katelyn J. Cavanaugh","GreaterEuropean","British","\N","F"
"Katerina Alexiou","GreaterEuropean","EastEuropean","\N","F"
"Katerina Böhmová","GreaterEuropean","EastEuropean","\N","F"
"Katerina Doka","Asian","GreaterEastAsian","Japanese","F"
"Katerina Dolgova","GreaterEuropean","EastEuropean","\N","F"
"Katerina Dufková","GreaterEuropean","EastEuropean","\N","F"
"Katerina Fotiadou","GreaterEuropean","WestEuropean","Hispanic","F"
"Katerina Fragkiadaki","Asian","GreaterEastAsian","EastAsian","F"
"Katerina Gavrilo","GreaterEuropean","EastEuropean","\N","F"
"Katerina Gkirtzou","GreaterEuropean","EastEuropean","\N","F"
"Katerina Goseva-Popstojanova","GreaterEuropean","EastEuropean","\N","F"
"Katerina Iatropoulou","GreaterEuropean","EastEuropean","\N","F"
"Katerina J. Argyraki","GreaterEuropean","EastEuropean","\N","F"
"Katerina Lepenioti","GreaterEuropean","WestEuropean","Italian","F"
"Katerina Mavrou","GreaterEuropean","EastEuropean","\N","F"
"Katerina Papadaki 0001","Asian","GreaterEastAsian","Japanese","F"
"Katerina Papaioannou","GreaterEuropean","WestEuropean","Hispanic","F"
"Katerina Papantoniou","GreaterEuropean","WestEuropean","Italian","F"
"Katerina Pastra","GreaterEuropean","EastEuropean","\N","F"
"Katerina Perdikuri","GreaterAfrican","Africans","\N","F"
"Katerina Poteriaykina","GreaterEuropean","EastEuropean","\N","F"
"Katerina Potika","Asian","IndianSubContinent","\N","F"
"Katerina Pramatari","Asian","IndianSubContinent","\N","F"
"Katerina Raptopoulou","GreaterEuropean","EastEuropean","\N","F"
"Katerina Slaninová","GreaterEuropean","EastEuropean","\N","F"
"Katerina Stamou","GreaterEuropean","EastEuropean","\N","F"
"Katerina Troshina","GreaterEuropean","EastEuropean","\N","F"
"Katerina Tzompanaki","Asian","GreaterEastAsian","EastAsian","F"
"Kateryna Kuksenok","Asian","GreaterEastAsian","EastAsian","F"
"Kateryna Synytsya","GreaterEuropean","EastEuropean","\N","F"
"Kateryna Tymoshenko","GreaterEuropean","EastEuropean","\N","F"
"Katharina Anna Lehmann","GreaterEuropean","WestEuropean","Germanic","F"
"Katharina Anna Zweig","GreaterEuropean","WestEuropean","Germanic","F"
"Katharina Blechschmidt","GreaterEuropean","British","\N","F"
"Katharina Eggensperger","GreaterEuropean","British","\N","F"
"Katharina Esau","GreaterEuropean","Jewish","\N","F"
"Katharina Galor","GreaterEuropean","EastEuropean","\N","F"
"Katharina Grün","GreaterEuropean","British","\N","F"
"Katharina Horst","GreaterEuropean","WestEuropean","Germanic","F"
"Katharina Jahn","GreaterEuropean","WestEuropean","Germanic","F"
"Katharina Kann","GreaterEuropean","British","\N","F"
"Katharina Kinder-Kurlanda","Asian","IndianSubContinent","\N","F"
"Katharina Langkau","Asian","GreaterEastAsian","EastAsian","F"
"Katharina M. Zeiner","GreaterEuropean","Jewish","\N","F"
"Katharina Mehner","GreaterEuropean","Jewish","\N","F"
"Katharina Morik","GreaterEuropean","EastEuropean","\N","F"
"Katharina Mülling","GreaterEuropean","British","\N","F"
"Katharina Pfeffer","GreaterEuropean","WestEuropean","Germanic","F"
"Katharina Probst","GreaterEuropean","WestEuropean","French","F"
"Katharina Rall","GreaterEuropean","British","\N","F"
"Katharina Rausch","GreaterEuropean","WestEuropean","Germanic","F"
"Katharina Reinecke","GreaterEuropean","WestEuropean","Germanic","F"
"Katharina Schippert","GreaterEuropean","WestEuropean","Germanic","F"
"Katharina Spiel","GreaterEuropean","British","\N","F"
"Katharina Tran Phuc","GreaterEuropean","British","\N","F"
"Katharina Wolter","GreaterEuropean","British","\N","F"
"Katharine A. Bostik","GreaterEuropean","EastEuropean","\N","F"
"Katharine Henry","GreaterEuropean","British","\N","F"
"Katharine S. Willis","GreaterEuropean","British","\N","F"
"Katherine A. Baldoni","GreaterEuropean","WestEuropean","Italian","F"
"Katherine A. Heller","GreaterEuropean","British","\N","F"
"Katherine A. Panciera","GreaterEuropean","WestEuropean","Italian","F"
"Katherine A. Yelick","GreaterEuropean","Jewish","\N","F"
"Katherine Bessière","GreaterEuropean","WestEuropean","French","F"
"Katherine Davison","GreaterEuropean","British","\N","F"
"Katherine De Jesus","GreaterEuropean","WestEuropean","Italian","F"
"Katherine Demuth","GreaterEuropean","British","\N","F"
"Katherine Donaldson","GreaterEuropean","British","\N","F"
"Katherine E. Coons","GreaterEuropean","British","\N","F"
"Katherine E. Stange","GreaterEuropean","WestEuropean","Hispanic","F"
"Katherine E. Wolf","GreaterEuropean","British","\N","F"
"Katherine Eng","Asian","GreaterEastAsian","EastAsian","F"
"Katherine Everitt","GreaterEuropean","British","\N","F"
"Katherine F. Moore","GreaterEuropean","British","\N","F"
"Katherine F. Moore-Smith","GreaterEuropean","Jewish","\N","F"
"Katherine Forbes-Riley","GreaterEuropean","British","\N","F"
"Katherine Froiland","GreaterEuropean","British","\N","F"
"Katherine G. Herbert","GreaterEuropean","British","\N","F"
"Katherine Godfrey","GreaterEuropean","British","\N","F"
"Katherine Guo","Asian","GreaterEastAsian","EastAsian","F"
"Katherine Hargreaves","GreaterEuropean","British","\N","F"
"Katherine Isbister","GreaterEuropean","WestEuropean","French","F"
"Katherine J. Denby","GreaterEuropean","British","\N","F"
"Katherine J. Hollenbach","GreaterEuropean","Jewish","\N","F"
"Katherine J. Kuchenbecker","GreaterEuropean","Jewish","\N","F"
"Katherine J. Lai","GreaterEuropean","British","\N","F"
"Katherine James","GreaterEuropean","British","\N","F"
"Katherine Kim","Asian","GreaterEastAsian","EastAsian","F"
"Katherine Kuan","Asian","GreaterEastAsian","EastAsian","F"
"Katherine L. Bouman","GreaterEuropean","WestEuropean","Germanic","F"
"Katherine L. Gibson","GreaterEuropean","British","\N","F"
"Katherine Lehman","GreaterEuropean","Jewish","\N","F"
"Katherine Lin","Asian","GreaterEastAsian","EastAsian","F"
"Katherine Lo","Asian","GreaterEastAsian","EastAsian","F"
"Katherine M. Sellen","GreaterEuropean","British","\N","F"
"Katherine M. Tsui","Asian","GreaterEastAsian","EastAsian","F"
"Katherine M. Woolf","GreaterEuropean","British","\N","F"
"Katherine Maillet","GreaterEuropean","WestEuropean","French","F"
"Katherine Malan","GreaterEuropean","WestEuropean","French","F"
"Katherine Marszalkowski","GreaterEuropean","EastEuropean","\N","F"
"Katherine Moriwaki","Asian","GreaterEastAsian","Japanese","F"
"Katherine Muterspaugh Steele","GreaterEuropean","British","\N","F"
"Katherine Narr","GreaterEuropean","British","\N","F"
"Katherine Riley","GreaterEuropean","British","\N","F"
"Katherine S. Pollard","GreaterEuropean","British","\N","F"
"Katherine Schramm","GreaterEuropean","WestEuropean","Germanic","F"
"Katherine St. John","GreaterEuropean","British","\N","F"
"Katherine Underwood","GreaterEuropean","British","\N","F"
"Kathi C. Martin","GreaterEuropean","British","\N","F"
"Kathi Fisler","GreaterEuropean","British","\N","F"
"Kathi Hogshead Davis","GreaterEuropean","British","\N","F"
"Káthia Marçal de Oliveira","GreaterEuropean","WestEuropean","Hispanic","F"
"Kathie Cameron","GreaterEuropean","British","\N","F"
"Kathleen A. Moore","GreaterEuropean","British","\N","F"
"Kathleen D. Moore","GreaterEuropean","British","\N","F"
"Kathleen F. McCoy","GreaterEuropean","British","\N","F"
"Kathleen Fisher","GreaterEuropean","British","\N","F"
"Kathleen Geraghty","GreaterEuropean","British","\N","F"
"Kathleen Griffiths","GreaterEuropean","British","\N","F"
"Kathleen H. Pine","GreaterEuropean","British","\N","F"
"Kathleen Kahn","GreaterEuropean","Jewish","\N","F"
"Kathleen Knobe","GreaterEuropean","British","\N","F"
"Kathleen Ko","Asian","GreaterEastAsian","Japanese","F"
"Kathleen Krebs","GreaterEuropean","Jewish","\N","F"
"Kathleen Kremer","GreaterEuropean","Jewish","\N","F"
"Kathleen Luchini","GreaterEuropean","WestEuropean","Italian","F"
"Kathleen M. Carley","GreaterEuropean","British","\N","F"
"Kathleen M. Eberhard","GreaterEuropean","British","\N","F"
"Kathleen McKeown","GreaterEuropean","British","\N","F"
"Kathleen Mulcahy","GreaterEuropean","British","\N","F"
"Kathleen Mullen","GreaterEuropean","British","\N","F"
"Kathleen O'Leary","GreaterEuropean","British","\N","F"
"Kathleen Snyder","GreaterEuropean","British","\N","F"
"Kathleen Steinhöfel","GreaterEuropean","Jewish","\N","F"
"Kathleen T. Ashenfelter","GreaterEuropean","Jewish","\N","F"
"Kathleen T. Durant","GreaterEuropean","WestEuropean","French","F"
"Kathleen Tsoukalas","Asian","GreaterEastAsian","Japanese","F"
"Kathleen Tuite","GreaterEuropean","British","\N","F"
"Kathleen Weaver","GreaterEuropean","British","\N","F"
"Kathrin Berkner","GreaterEuropean","Jewish","\N","F"
"Kathrin Eichler","GreaterEuropean","WestEuropean","Germanic","F"
"Kathrin Figl","GreaterEuropean","WestEuropean","Italian","F"
"Kathrin Gerling","GreaterEuropean","WestEuropean","Italian","F"
"Kathrin Hoffmann","GreaterEuropean","Jewish","\N","F"
"Kathrin Knautz","GreaterEuropean","WestEuropean","Germanic","F"
"Kathrin Konczak","GreaterEuropean","EastEuropean","\N","F"
"Kathrin Mao","Asian","GreaterEastAsian","EastAsian","F"
"Kathrin Maria Gerling","GreaterEuropean","WestEuropean","Italian","F"
"Kathrin Probst","GreaterEuropean","WestEuropean","French","F"
"Kathrin Roberts","GreaterEuropean","British","\N","F"
"Kathrin Spreyer","GreaterEuropean","EastEuropean","\N","F"
"Kathryn Bassin","GreaterEuropean","British","\N","F"
"Kathryn Blackmond Laskey","GreaterEuropean","British","\N","F"
"Kathryn E. Gray","GreaterEuropean","British","\N","F"
"Kathryn E. Ringland","GreaterEuropean","British","\N","F"
"Kathryn Gronemyer","GreaterEuropean","British","\N","F"
"Kathryn Kasmarik","GreaterAfrican","Muslim","\N","F"
"Kathryn Leonard","GreaterEuropean","British","\N","F"
"Kathryn Mazaitis","GreaterAfrican","Muslim","\N","F"
"Kathryn Nobles","GreaterEuropean","British","\N","F"
"Kathryn Papadopoulos","GreaterEuropean","British","\N","F"
"Kathryn Rickertsen","GreaterEuropean","British","\N","F"
"Kathryn Ringland","GreaterEuropean","British","\N","F"
"Kathryn Rivard","GreaterEuropean","WestEuropean","French","F"
"Kathryn S. McKinley","GreaterEuropean","British","\N","F"
"Kathryn Sarah Macarthur","GreaterEuropean","Jewish","\N","F"
"Kathryn Summers","GreaterEuropean","British","\N","F"
"Kathryn T. Stolee","GreaterEuropean","British","\N","F"
"Kathy Baxter","GreaterEuropean","British","\N","F"
"Kathy Bohrer","GreaterEuropean","Jewish","\N","F"
"Kathy Brennan","GreaterEuropean","British","\N","F"
"Kathy J. Lee","Asian","GreaterEastAsian","EastAsian","F"
"Kathy K. Baxter","GreaterEuropean","British","\N","F"
"Kathy Lee","Asian","GreaterEastAsian","EastAsian","F"
"Kathy McKeown","GreaterEuropean","British","\N","F"
"Kathy Panton","GreaterEuropean","British","\N","F"
"Kathy Ryall","GreaterEuropean","British","\N","F"
"Kati Alha","GreaterAfrican","Muslim","\N","F"
"Kati Hakkarainen","GreaterAfrican","Muslim","\N","F"
"Kati Hyyppä","GreaterAfrican","Muslim","\N","F"
"Kati Kuusinen","GreaterAfrican","Africans","\N","F"
"Kati Land","Asian","GreaterEastAsian","Japanese","F"
"Kati Wolter","GreaterEuropean","British","\N","F"
"Katia Abbaci","GreaterAfrican","Muslim","\N","F"
"Katia Barbosa Saikoski","GreaterEuropean","EastEuropean","\N","F"
"Katia Basso","GreaterEuropean","WestEuropean","Italian","F"
"Katia Hristova","GreaterEuropean","EastEuropean","\N","F"
"Katia Meziani","GreaterAfrican","Africans","\N","F"
"Katia Obraczka","GreaterEuropean","EastEuropean","\N","F"
"Katia P. Sycara","GreaterEuropean","Jewish","\N","F"
"Katia Papakonstantinopoulou","GreaterEuropean","WestEuropean","French","F"
"Katia Romero Felizardo","GreaterEuropean","WestEuropean","Hispanic","F"
"Katia S. Guimarães","Asian","IndianSubContinent","\N","F"
"Kátia Serralheiro","GreaterAfrican","Africans","\N","F"
"Katia Vega","GreaterEuropean","WestEuropean","Italian","F"
"Katia Vila","GreaterEuropean","WestEuropean","Hispanic","F"
"Katica Dimitrova","GreaterEuropean","EastEuropean","\N","F"
"Katie A. Siek","GreaterEuropean","British","\N","F"
"Katie Antypas","GreaterEuropean","EastEuropean","\N","F"
"Katie Atkinson","GreaterEuropean","British","\N","F"
"Katie Brittain","GreaterEuropean","British","\N","F"
"Katie Dahmen","GreaterAfrican","Muslim","\N","F"
"Katie Davis","GreaterEuropean","British","\N","F"
"Katie Derthick","GreaterEuropean","British","\N","F"
"Katie Dill","GreaterEuropean","British","\N","F"
"Katie G. Tanaka","Asian","GreaterEastAsian","Japanese","F"
"Katie Genter","GreaterEuropean","British","\N","F"
"Katie Hill","GreaterEuropean","British","\N","F"
"Katie Kuksenok","GreaterAfrican","Muslim","\N","F"
"Katie L. Wilkie","GreaterEuropean","British","\N","F"
"Katie Legere","GreaterEuropean","WestEuropean","Hispanic","F"
"Katie Long Genter","GreaterEuropean","British","\N","F"
"Katie McMahon","GreaterEuropean","British","\N","F"
"Katie Minardo","GreaterEuropean","WestEuropean","Italian","F"
"Katie O'Donnell","GreaterEuropean","British","\N","F"
"Katie O'Leary","GreaterEuropean","British","\N","F"
"Katie Pine","GreaterEuropean","British","\N","F"
"Katie Seaborn","GreaterEuropean","British","\N","F"
"Katie Shilton","GreaterEuropean","British","\N","F"
"Katie Taylor","GreaterEuropean","British","\N","F"
"Katie Wang","Asian","GreaterEastAsian","EastAsian","F"
"Katie White","GreaterEuropean","British","\N","F"
"Katina Hazelden","GreaterEuropean","WestEuropean","Nordic","F"
"Katinka Wolter","GreaterEuropean","Jewish","\N","F"
"Katja Battarbee","GreaterAfrican","Muslim","\N","F"
"Katja C. Thoring","GreaterEuropean","British","\N","F"
"Katja Filippova","GreaterEuropean","EastEuropean","\N","F"
"Katja Grafenhain","GreaterEuropean","Jewish","\N","F"
"Katja Grufberg","GreaterEuropean","Jewish","\N","F"
"Katja Herrmanny","GreaterEuropean","WestEuropean","Germanic","F"
"Katja Hertzschuch","GreaterEuropean","Jewish","\N","F"
"Katja Hofmann","GreaterEuropean","Jewish","\N","F"
"Katja Hose","GreaterEuropean","British","\N","F"
"Katja Kevic","GreaterEuropean","Jewish","\N","F"
"Katja Losemann","GreaterEuropean","Jewish","\N","F"
"Katja Markert","GreaterEuropean","British","\N","F"
"Katja Mayer","GreaterEuropean","Jewish","\N","F"
"Katja Neureiter","GreaterEuropean","WestEuropean","Germanic","F"
"Katja Niemann","GreaterEuropean","WestEuropean","Germanic","F"
"Katja Rentto","GreaterEuropean","British","\N","F"
"Katja Rimmi","GreaterEuropean","WestEuropean","Germanic","F"
"Katja Schmidt-Samoa","GreaterEuropean","WestEuropean","Germanic","F"
"Katja Schwieger","GreaterEuropean","WestEuropean","Germanic","F"
"Katja Seidler","GreaterEuropean","Jewish","\N","F"
"Katja Tham","GreaterAfrican","Muslim","\N","F"
"Katri Koli","Asian","IndianSubContinent","\N","F"
"Katri Salminen","GreaterEuropean","WestEuropean","Nordic","F"
"Katrien Beuls","GreaterEuropean","WestEuropean","Nordic","F"
"Katrien Verbert","GreaterEuropean","British","\N","F"
"Katrin Amunts","GreaterEuropean","WestEuropean","Nordic","F"
"Katrin Angerbauer","GreaterEuropean","WestEuropean","Nordic","F"
"Katrin Braunschweig","GreaterEuropean","British","\N","F"
"Katrin Casel","GreaterEuropean","WestEuropean","Italian","F"
"Katrin Eisenreich","GreaterEuropean","Jewish","\N","F"
"Katrin Erk","GreaterAfrican","Africans","\N","F"
"Katrin Grau","GreaterEuropean","WestEuropean","Hispanic","F"
"Katrin Haegler","GreaterEuropean","British","\N","F"
"Katrin Honauer","GreaterEuropean","WestEuropean","French","F"
"Katrin Kirchhoff","GreaterEuropean","EastEuropean","\N","F"
"Katrin Lasinger","GreaterEuropean","WestEuropean","Germanic","F"
"Katrin Lehner","GreaterEuropean","Jewish","\N","F"
"Katrin Nachbar","GreaterEuropean","WestEuropean","Germanic","F"
"Katrin Santner","GreaterEuropean","WestEuropean","Germanic","F"
"Katrin Schweitzer","GreaterEuropean","WestEuropean","Germanic","F"
"Katrin Sjöberg","GreaterEuropean","WestEuropean","Nordic","F"
"Katrin Tomanek","GreaterEuropean","EastEuropean","\N","F"
"Katrin Weller","GreaterEuropean","British","\N","F"
"Katrin Wolf","GreaterEuropean","Jewish","\N","F"
"Katrin Wolf 0001","GreaterEuropean","Jewish","\N","F"
"Katrina Attwood","GreaterEuropean","British","\N","F"
"Katrina E. Falkner","GreaterEuropean","British","\N","F"
"Katrina Fenlon","GreaterEuropean","British","\N","F"
"Katrina Jungnickel","GreaterEuropean","WestEuropean","Germanic","F"
"Katrina LaCurts","GreaterEuropean","WestEuropean","French","F"
"Katrina Ligett","GreaterEuropean","WestEuropean","Italian","F"
"Katrina Muller","GreaterEuropean","British","\N","F"
"Katrina Panovich","GreaterEuropean","EastEuropean","\N","F"
"Katrina Samperi","GreaterEuropean","WestEuropean","Italian","F"
"Katrine Ravn","GreaterEuropean","WestEuropean","Nordic","F"
"Katsiaryna Labunets","Asian","GreaterEastAsian","Japanese","F"
"Katsiaryna Mirylenka","GreaterEuropean","EastEuropean","\N","F"
"Katsuko T. Nakahira","Asian","GreaterEastAsian","Japanese","F"
"Katy Howland","GreaterEuropean","British","\N","F"
"Katy Wolstencroft","GreaterEuropean","British","\N","F"
"Katya Pelekhov","GreaterEuropean","EastEuropean","\N","F"
"Katya Yefimova","GreaterAfrican","Muslim","\N","F"
"Kavita A. Ganesan","Asian","IndianSubContinent","\N","F"
"Kavita Bala","Asian","IndianSubContinent","\N","F"
"Kavita Ganesan","Asian","IndianSubContinent","\N","F"
"Kavita Philip","GreaterEuropean","British","\N","F"
"Kavita Ramanan","Asian","IndianSubContinent","\N","F"
"Kavita Ravi","Asian","IndianSubContinent","\N","F"
"Kavitha Manivannan","Asian","IndianSubContinent","\N","F"
"Kavitha Muthukrishnan","Asian","IndianSubContinent","\N","F"
"Kavitha Rajan","Asian","IndianSubContinent","\N","F"
"Kavitha Srinivas","Asian","IndianSubContinent","\N","F"
"Kawtar Benghazi Akhlaki","Asian","IndianSubContinent","\N","F"
"Kay A. Robbins","GreaterEuropean","British","\N","F"
"Kay Connelly","GreaterEuropean","British","\N","F"
"Kay H. Connelly","GreaterEuropean","British","\N","F"
"Kay Hofmeester","GreaterEuropean","Jewish","\N","F"
"Kay Müller","GreaterEuropean","British","\N","F"
"Kay Munro","GreaterEuropean","British","\N","F"
"Kay Ousterhout","GreaterEuropean","British","\N","F"
"Kay Römer","GreaterEuropean","British","\N","F"
"Kay Rottmann","GreaterEuropean","Jewish","\N","F"
"Kayce N. Reed","Asian","IndianSubContinent","\N","F"
"Kayi Lee","Asian","GreaterEastAsian","EastAsian","F"
"Kayla Cole","GreaterEuropean","Jewish","\N","F"
"Kayla J. Heffernan","GreaterEuropean","Jewish","\N","F"
"Kayla Raines","GreaterEuropean","British","\N","F"
"Kayoung Park","Asian","GreaterEastAsian","EastAsian","F"
"Kazue Kobayashi","Asian","GreaterEastAsian","Japanese","F"
"Kazue Sako","Asian","GreaterEastAsian","Japanese","F"
"Kazuko Kuriyama","Asian","GreaterEastAsian","Japanese","F"
"Kazuko Takahashi","Asian","GreaterEastAsian","Japanese","F"
"Kazumi Kubota","Asian","GreaterEastAsian","Japanese","F"
"Kazumi Kuriyama-Matsumura","Asian","GreaterEastAsian","Japanese","F"
"Kazumi Saito","Asian","GreaterEastAsian","Japanese","F"
"Kazusa Onishi","Asian","GreaterEastAsian","Japanese","F"
"kc claffy","GreaterEuropean","British","\N","F"
"Kecia Aline Marques Ferreira","GreaterEuropean","WestEuropean","Hispanic","F"
"Kecia L. Addison","GreaterEuropean","British","\N","F"
"Keerthana Kumar","Asian","IndianSubContinent","\N","F"
"Keerti Choudhary","Asian","IndianSubContinent","\N","F"
"Kehinde Alabi","GreaterEuropean","WestEuropean","Hispanic","F"
"Keiko Imai","Asian","GreaterEastAsian","Japanese","F"
"Keiko Nakata 0001","Asian","GreaterEastAsian","Japanese","F"
"Keiko Shimazu","Asian","GreaterEastAsian","Japanese","F"
"Keiko Sophie Mori","GreaterEuropean","WestEuropean","Italian","F"
"Keiko Verônica Ono Fonseca","Asian","GreaterEastAsian","Japanese","F"
"Keira Zhou","Asian","GreaterEastAsian","EastAsian","F"
"Keisha How","GreaterEuropean","British","\N","F"
"Keisha Jayaratne","Asian","IndianSubContinent","\N","F"
"Kejia Shao","Asian","GreaterEastAsian","EastAsian","F"
"Kejia Tao","Asian","GreaterEastAsian","EastAsian","F"
"Keke Cai","Asian","GreaterEastAsian","EastAsian","F"
"Keke Chen","Asian","GreaterEastAsian","EastAsian","F"
"Kele Xu","Asian","GreaterEastAsian","EastAsian","F"
"Keli Xiao","Asian","GreaterEastAsian","EastAsian","F"
"Kellen Donohue","Asian","GreaterEastAsian","EastAsian","F"
"Kelley Duran","GreaterEuropean","British","\N","F"
"Kelley Harris","GreaterEuropean","British","\N","F"
"Kelley Wagg","GreaterEuropean","British","\N","F"
"Kelli Bacon","GreaterEuropean","British","\N","F"
"Kelli de Faria Cordeiro","GreaterEuropean","WestEuropean","Hispanic","F"
"Kelli M. Slaten","GreaterEuropean","British","\N","F"
"Kellie Webster","GreaterEuropean","British","\N","F"
"Kelly A. Lyons","GreaterEuropean","British","\N","F"
"Kelly Androutsopoulos","GreaterEuropean","British","\N","F"
"Kelly Ann Marshall","GreaterEuropean","British","\N","F"
"Kelly Blincoe","GreaterEuropean","British","\N","F"
"Kelly Braun","GreaterEuropean","WestEuropean","Germanic","F"
"Kelly Caine","GreaterEuropean","British","\N","F"
"Kelly Dobson","GreaterEuropean","British","\N","F"
"Kelly E. Caine","GreaterEuropean","British","\N","F"
"Kelly Fitz","GreaterEuropean","British","\N","F"
"Kelly Franznick","GreaterEuropean","Jewish","\N","F"
"Kelly J. Fadel","GreaterAfrican","Muslim","\N","F"
"Kelly Kruse","GreaterEuropean","EastEuropean","\N","F"
"Kelly L. Dempski","GreaterEuropean","British","\N","F"
"Kelly L. Kashuda","Asian","IndianSubContinent","\N","F"
"Kelly Lam","Asian","GreaterEastAsian","EastAsian","F"
"Kelly Lyons","GreaterEuropean","British","\N","F"
"Kelly M. Reishcel","GreaterEuropean","British","\N","F"
"Kelly Manning","GreaterEuropean","British","\N","F"
"Kelly Mills","GreaterEuropean","British","\N","F"
"Kelly Moran","GreaterEuropean","British","\N","F"
"Kelly Palmer","GreaterEuropean","British","\N","F"
"Kelly Rankin","GreaterEuropean","British","\N","F"
"Kelly Waldman","GreaterEuropean","Jewish","\N","F"
"Kelly Y. Itakura","Asian","GreaterEastAsian","Japanese","F"
"Kelly Yap","Asian","GreaterEastAsian","EastAsian","F"
"Kellyne Santos","GreaterEuropean","WestEuropean","Hispanic","F"
"Kelsey E. Huebner","GreaterEuropean","British","\N","F"
"Kelsey Gaboriau","GreaterEuropean","WestEuropean","Hispanic","F"
"Kelsey Suyehira","GreaterAfrican","Africans","\N","F"
"Kendra Carattini","GreaterEuropean","WestEuropean","Italian","F"
"Kendra Cooper","GreaterEuropean","British","\N","F"
"Kendra M. L. Cooper","Asian","IndianSubContinent","\N","F"
"Kenia P. Batista Webster","GreaterEuropean","WestEuropean","Hispanic","F"
"Kênia Soares Sousa","GreaterEuropean","WestEuropean","Hispanic","F"
"Kenya Sato","Asian","GreaterEastAsian","Japanese","F"
"Kenya Ueno","Asian","GreaterEastAsian","Japanese","F"
"Kenza Kellou-Menouer","GreaterAfrican","Africans","\N","F"
"Kenzie L. Preston","GreaterEuropean","British","\N","F"
"Keren Bergman","GreaterEuropean","Jewish","\N","F"
"Keren Censor","GreaterEuropean","British","\N","F"
"Keren Censor-Hillel","GreaterEuropean","British","\N","F"
"Keren Fu","Asian","GreaterEastAsian","EastAsian","F"
"Keren Lenz","GreaterEuropean","WestEuropean","Germanic","F"
"Keren Rotenberg","GreaterEuropean","Jewish","\N","F"
"Keren Tan","Asian","GreaterEastAsian","EastAsian","F"
"Keri Carpenter","GreaterEuropean","British","\N","F"
"Keri Facer","GreaterEuropean","WestEuropean","Hispanic","F"
"Kerri Clough-Gorr","GreaterEuropean","British","\N","F"
"Kerry Bodine","GreaterEuropean","British","\N","F"
"Kerry Hannan","GreaterEuropean","British","\N","F"
"Kerry Hart","GreaterEuropean","British","\N","F"
"Kerry L. Taylor","GreaterEuropean","British","\N","F"
"Kerry McGuire","GreaterEuropean","British","\N","F"
"Kerry Moffitt","GreaterEuropean","British","\N","F"
"Kerry N. Wood","GreaterEuropean","British","\N","F"
"Kerry Olesen","GreaterEuropean","WestEuropean","Nordic","F"
"Kerry Rodden","GreaterEuropean","British","\N","F"
